                                                                    Registrar IDs

   Last Updated
           2015-06-19

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registry included below

     * Registrar IDs

Registrar IDs

   Registration Procedure(s)

 Assigned by ICANN

   Reference
           [Not defined by an RFC]

   Available Formats
           [IMG]
           CSV

     ID                                          Registrar Name                                          Status
     409   DevelopersNetwork.com., Inc. dba DomainInvestigator.com (Canada)                            Terminated
     410   Apex Registry, Inc.                                                                         Terminated
     411   Fabulous.com Pty Ltd.                                                                       Accredited
     412   Domain-It!, Inc.                                                                            Accredited
     413   Domain Pro, LLC                                                                             Accredited
     414   Eastern Counties Newspaper Group Ltd. d/b/a Eastern Counties Network                        Terminated
     415   Equitron, Inc. d/b/a DomainNameRegistration.com                                             Terminated
     416   eWindowShop.com                                                                             Terminated
     417   ExtremeNames.com                                                                            Terminated
     418   CommuniGal Communication Ltd.                                                               Accredited
     419   HDFC WebNet Services Ltd.                                                                   Terminated
     420   HiChina Zhicheng Technology Limited                                                         Accredited
     421   InfoNetworks, Inc.                                                                          Terminated
     422   InfoUSA.com                                                                                 Terminated
     423   Internetplaza City Co., Ltd.                                                                Terminated
     424   Internetters Limited                                                                        Accredited
     425   Intuit, Inc.                                                                                Terminated
     426   iTool.com, Inc.                                                                             Terminated
     427   Lightrealm                                                                                  Terminated
     428   Name.Space, Incorporated                                                                    Terminated
     429   Neomode Co., Ltd.                                                                           Terminated
     430   CORPORATION SERVICE COMPANY (UK) LIMITED                                                    Accredited
     431   DreamHost, LLC                                                                              Accredited
     432   Nobel Networks                                                                              Terminated
     433   OVH sas                                                                                     Accredited
     434   PRIMUS Telecommunications Canada Inc.                                                       Terminated
     435   Professo, LLC                                                                               Terminated
     436   PSINet Inc.                                                                                 Terminated
     437   SiteName Ltd.                                                                               Accredited
     438   Direct Connection Ltd.                                                                      Terminated
     439   USA Webhost, Inc.                                                                           Accredited
     440   Wild West Domains, LLC                                                                      Accredited
     441   HANILNETWORKS Co., Ltd.                                                                     Terminated
     442   IKANO Communications                                                                        Terminated
     443   Vayala Corporation dba Demand.com                                                           Terminated
     444   Inames Co. Ltd.                                                                             Accredited
     445   Bondi, LLC                                                                                  Terminated
     446   Hosting-Network, Inc.                                                                       Terminated
     447   SafeNames Ltd.                                                                              Accredited
     448   Universal Registration Services, Inc. dba NewDentity.com                                    Accredited
     449   Korea Information Certificate Authority, Inc. dba DomainCA.com                              Accredited
     450   DomainName, Inc.                                                                            Accredited
     451   AAAQ.COM, Inc.                                                                              Terminated
     452   Name105, Inc.                                                                               Accredited
     453   AllGlobalNames, S.A. dba Cyberegistro.com                                                   Accredited
     454   Unassigned                                                                                  Accredited
     455   EnCirca, Inc.                                                                               Accredited
     456   Webnames.ca Inc.                                                                            Accredited
     457   Cydentity, Inc. dba Cypack.com                                                              Terminated
     458   #1 Accredited Registrar                                                                     Terminated
     459   Domain Monkeys LLC                                                                          Accredited
     460   Web Commerce Communications Limited dba WebNic.cc                                           Accredited
     461   DotForce Corp. dba DotForce.com                                                             Terminated
     462   Personal Names Limited                                                                      Terminated
     463   Regional Network Information Center, JSC dba RU-CENTER                                      Accredited
     464   Name2Host, Inc. dba name2host.com                                                           Accredited
     465   Domains.coop Limited                                                                        Accredited
     466   DomainSite, Inc.                                                                            Accredited
     467   Techorus Inc.                                                                               Accredited
     468   Amazon Registrar, Inc.                                                                      Accredited
     469   easyDNS Technologies, Inc.                                                                  Accredited
     470   Nom-iq Ltd. dba COM LAUDE                                                                   Accredited
     471   Bizcn.com, Inc.                                                                             Accredited
     472   Dynadot, LLC                                                                                Accredited
     473   Best Registration Services, Inc. dba BestRegistrar.com                                      Terminated
     474   Firstserver, Inc.                                                                           Accredited
     475   R. Lee Chambers Company LLC dba DomainsToBe Seen.com                                        Accredited
     484   Unassigned                                                                                  Accredited
     500   Terminated Registrar                                                                        Accredited
     600   Rebel Ltd                                                                                   Accredited
     601   French Connexion SARL dba Domaine.fr                                                        Accredited
     602   LCN.COM Ltd.                                                                                Accredited
     603   Inic GmbH                                                                                   Accredited
     604   In2net Network, Inc.                                                                        Accredited
     605   rockenstein AG                                                                              Accredited
     606   Namezero, LLC                                                                               Accredited
     607   Annulet LLC                                                                                 Accredited
     608   EnetRegistry, Inc.                                                                          Terminated
     609   NameKing.com Inc.                                                                           Accredited
     610   Server-Service GmbH                                                                         Terminated
     611   Inter China Network Software (Beijing) Co., Ltd. (aka 3721)                                 Terminated
     612   Blue Razor Domains, LLC                                                                     Accredited
     613   Unassigned                                                                                  Accredited
     614   ESoftwiz, Inc.                                                                              Terminated
     615   Vivid Domains, Inc.                                                                         Accredited
     616   Acropolis Telecom                                                                           Accredited
     617   Epik Inc.                                                                                   Accredited
     618   Enetica Pty Ltd.                                                                            Accredited
     619   Domainducks, LLC                                                                            Accredited
     620   Fiducia LLC, Latvijas Parstavnieciba                                                        Accredited
     621   Unassigned                                                                                  Accredited
     622   Nameview, Inc.                                                                              Accredited
     623   eNom623, Inc.                                                                               Accredited
     624   eNom625, Inc.                                                                               Accredited
     625   Name.com, Inc.                                                                              Accredited
     626   NeoNIC OY                                                                                   Accredited
     627   Name Trance LLC                                                                             Accredited
     628   Vedacore.com, Inc.                                                                          Accredited
     629   Domainz Limited                                                                             Accredited
     630   Answerable.com (I) Pvt Ltd                                                                  Accredited
     631   Web.com Holding Company, Inc.                                                               Terminated
     632   Asadal, Inc.                                                                                Accredited
     633   Beijing Innovative Linkage Technology Ltd. dba dns.com.cn                                   Accredited
     634   NetTuner Corp. dba Webmasters.com                                                           Accredited
     635   eNom635, Inc.                                                                               Accredited
     636   Brandon Gray Internet Services, Inc. (dba NameJuice.com)                                    Accredited
     637   Dot Holding Inc.                                                                            Accredited
     638   Nordreg AB                                                                                  Accredited
     639   Sipence, Inc.                                                                               Accredited
     640   Mobile Name Services, Inc.                                                                  Accredited
     641   H. J. Linnen Associates Ltd.                                                                Accredited
     642   Ladas Domains LLC                                                                           Accredited
     643   DNS:NET Internet Service GmbH                                                               Accredited
     644   Aim High!, Inc.                                                                             Accredited
     645   GMO Internet Pte. Ltd                                                                       Accredited
     646   eNom646, Inc.                                                                               Accredited
     647   eNom647, Inc.                                                                               Accredited
     648   Webagentur.at Internet Services GmbH d/b/a domainname.at                                    Accredited
     649   Nictrade Internet Identity Provider AB.                                                     Accredited
     650   eNom650, Inc.                                                                               Accredited
     651   Total Calories, Inc. dba Slim Names                                                         Terminated
     652   eNom652, Inc.                                                                               Accredited
     653   NamePal.com #8028                                                                           Accredited
     654   eNom654, Inc.                                                                               Accredited
     655   eNom655, Inc.                                                                               Accredited
     656   eNom656, Inc.                                                                               Accredited
     657   Unassigned                                                                                  Accredited
     658   Register Names, LLC                                                                         Accredited
     659   eNom659, Inc.                                                                               Accredited
     660   Vista.com, Inc.                                                                             Terminated
     661   eNom661, Inc.                                                                               Accredited
     662   eNom662, Inc.                                                                               Accredited
     663   eNom663, Inc.                                                                               Accredited
     664   Web4Africa Inc                                                                              Accredited
     665   iRegistry Corp.                                                                             Terminated
     666   eNom666, Inc.                                                                               Accredited
     667   Name Share, Inc.                                                                            Accredited
     668   Lead Networks Domains Pvt. Ltd.                                                             Terminated
     669   ResellerSRS Inc dba ResellerSRS.com                                                         Accredited
     670   $$$ Private Label Internet Service Kiosk, Inc. dba "PLISK.com"                              Accredited
     671   eBrandSecure, LLC                                                                           Accredited
     672   eNom672, Inc.                                                                               Accredited
     673   NJ Tech Solutions Inc. dba Expertsrs.com                                                    Accredited
     674   CVO.ca Inc.                                                                                 Accredited
     675   Super Registry Ltd                                                                          Accredited
     676   ExtremeDomains.ca Inc.                                                                      Accredited
     677   NetRegistry Pty Ltd.                                                                        Accredited
     678   Ace of Domains, Inc.                                                                        Terminated
     679   Compana LLC                                                                                 Terminated
     680   SearchName.ca Internet Services Corporation                                                 Accredited
     681   DomainPlaza.ca Inc.                                                                         Accredited
     682   NamePal.com #8008                                                                           Accredited
     683   WorldNames.ca Inc.                                                                          Accredited
     684   Domainscape.ca Inc.                                                                         Accredited
     685   Domainscostless.com Inc.                                                                    Accredited
     686   PriceDomain.ca Internet Services Corporation                                                Accredited
     687   GoName-WA.com, Inc.                                                                         Accredited
     688   PrimeDomain.ca Inc.                                                                         Accredited
     689   Domains2be.com Inc.                                                                         Accredited
     690   GotNames.ca Inc.                                                                            Accredited
     691   DomainMarketPlace.ca Inc.                                                                   Accredited
     692   Unassigned                                                                                  Accredited
     693   IPXcess.com Sdn Bhd                                                                         Accredited
     694   Whoistoolbar Corp.                                                                          Accredited
     695   !#No1Registrar, LLC                                                                         Accredited
     696   Entorno Digital, S.A.                                                                       Accredited
     697   Todaynic.com Inc.                                                                           Accredited
     698   Dagnabit, Incorporated                                                                      Accredited
     699   Internet Internal Affairs Corporation                                                       Accredited
     700   Blisternet, Inc.                                                                            Accredited
     701   Domainnovations, Inc.                                                                       Accredited
     702   Dropoutlet, Incorporated                                                                    Accredited
     703   Nom Infinitum, Incorporated                                                                 Accredited
     704   eNombre Corporation                                                                         Accredited
     705   Extra Threads Corporation                                                                   Accredited
     706   Indirection Identity Corporation                                                            Accredited
     707   Fushi Tarazu, Incorporated                                                                  Accredited
     708   Gunga Galunga Corporation                                                                   Accredited
     709   DomainAllies.com, Inc.                                                                      Accredited
     710   ! ! ! $0 Cost Domain and Hosting Services, Inc.                                             Terminated
     711   DomainSystems, Inc. dba DomainsSystems.com                                                  Terminated
     712   Tahoe Domains, Inc.                                                                         Terminated
     713   3597245 Canada Inc. dba Nic-Name Internet Service Corp.                                     Accredited
     714   3684458 Canada Inc. dba Quark.ca Internet Services Corporation                              Accredited
     715   GoNames.ca Inc.                                                                             Accredited
     716   DomainsFirst.ca Inc.                                                                        Accredited
     717   BeMyDomain.net, Inc.                                                                        Accredited
