                                                  Language Subtag Registry - Registration Templates

   Last Updated
           2018-11-30

   Registration Procedure(s)

 IESG-Appointed Language Subtag Reviewer

   Reference
           [RFC5646]

   Note

 [RFC5646] defines an IANA-maintained registry of language subtags, which
 is available at [IANA registry language-subtag-registry]. The
 following is the archive of language subtag registration templates.


   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Available Formats
           [IMG]
           CSV

       Type           Subtag              Template            Date
   language      frs               frs.txt                 2007-11-06
   language      fy                fy.txt                  2007-11-06
   language      gac               gac.txt                 2010-03-24
   language      gal               gal.txt                 2013-09-23
   language      gav               gav.txt                 2010-03-24
   language      gbc               gbc.txt                 2012-08-27
   language      gbw               gbw.txt                 2013-09-23
   language      gds               gds.txt                 2012-08-27
   language      gdt               gdt.txt                 2013-09-23
   language      gek               gek.txt                 2016-06-10
   language      gel               gel.txt                 2011-08-24
   language      gem               gem.txt                 2009-04-07
   language      gev               gev.txt                 2014-03-13
   language      gfx               gfx.txt                 2012-08-27
   language      gfx               gfx-2015-02-12.txt      2015-02-18
   language      gfx               gfx-2018-10-28.txt      2018-10-31
   language      ggn               ggn.txt                 2016-06-10
   language      ggo               ggo.txt                 2016-06-10
   language      ggr               ggr.txt                 2013-09-23
   language      ggr               ggr-20140313.txt        2014-03-13
   language      ggu               ggu.txt                 2013-09-23
   language      ght               ght.txt                 2012-08-27
   language      gie               gie.txt                 2017-03-03
   language      gih               gih.txt                 2013-09-23
   language      gio               gio.txt                 2012-08-27
   language      giu               giu.txt                 2012-08-27
   language      gjm               gjm.txt                 2013-09-23
   language      gjr               gjr.txt                 2016-06-10
   language      gkd               gkd.txt                 2018-03-20
   language      gko               gko.txt                 2012-08-27
   language      gku               gku.txt                 2015-02-18
   language      gku               gku-2018-10-28.txt      2018-10-31
   language      glh               glh.txt                 2015-02-18
   language      gll               gll.txt                 2013-09-23
   language      gmg               gmg.txt                 2014-03-13
   language      gmz               gmz.txt                 2013-09-23
   language      gnj               gnj.txt                 2018-03-20
   language      gnk               gnk.txt                 2015-03-06
   language      gnk               gnk-2018-10-28.txt      2018-10-31
   language      gpe               gpe.txt                 2012-08-27
   language      gqu               gqu.txt                 2012-08-27
   language      gsn               gsn.txt                 2016-06-10
   language      gsw               gsw.txt                 2007-11-06
   language      gsw               gsw-20080326.txt        2008-03-26
   language      gti               gti.txt                 2015-02-18
   language      gtu               gtu.txt                 2013-09-23
   language      guv               guv.txt                 2016-06-10
   language      gvr               gvr.txt                 2016-06-10
   language      gwj               gwj.txt                 2015-03-06
   language      gwj               gwj-2018-10-28.txt      2018-10-31
   language      gwm               gwm.txt                 2012-08-27
   language      gyo               gyo.txt                 2018-03-20
   language      hgm               hgm.txt                 2015-03-06
   language      hgm               hgm-2018-10-28.txt      2018-10-31
   language      him               him.txt                 2009-09-22
   language      hkn               hkn.txt                 2018-03-20
   language      hlt               hlt.txt                 2012-08-27
   language      hmn               hmn.txt                 2010-04-19
   language      hmz               hmz.txt                 2010-03-24
   language      hnh               hnh.txt                 2015-03-06
   language      hnh               hnh-2018-10-28.txt      2018-10-31
   language      hnj               hnj.txt                 2010-04-19
   language      hoj               hoj.txt                 2012-08-27
   language      hot               hot.txt                 2010-03-24
   language      hps               hps.txt                 2014-03-13
   language      hrc               hrc.txt                 2013-09-23
   language      hrp               hrp.txt                 2013-09-23
   language      hrr               hrr.txt                 2012-08-27
   language      hrw               hrw.txt                 2013-09-23
   language      hsb               hsb.txt                 2007-11-06
   language      huc               huc.txt                 2015-03-06
   language      huc               huc-2018-10-28.txt      2018-10-31
   language      hwc               hwc.txt                 2013-09-23
   language      hy                hy.txt                  2018-03-20
   language      hyw               hyw.txt                 2018-03-20
   language      iap               iap.txt                 2016-06-10
   language      ibh               ibh.txt                 2017-03-03
   language      ibi               ibi.txt                 2012-08-27
   language      idc               idc.txt                 2013-09-23
   language      ifb               ifb.txt                 2010-03-24
   language      ihw               ihw.txt                 2012-08-27
   language      iin               iin.txt                 2013-09-23
   language      ikr               ikr.txt                 2013-09-23
   language      iks               iks.txt                 2015-02-18
   language      ikt               ikt.txt                 2012-08-27
   language      ill               ill.txt                 2016-06-10
   language      ilm               ilm.txt                 2016-06-10
   language      ilp               ilp.txt                 2016-06-10
   language      ilw               ilw.txt                 2013-09-23
   language      ime               ime.txt                 2015-02-18
   language      inc               inc.txt                 2009-04-07
   language      ine               ine.txt                 2009-04-07
   language      iqw               iqw.txt                 2013-09-23
   language      ira               ira.txt                 2009-04-07
   language      iri               iri.txt                 2018-03-20
   language      isk               isk.txt                 2010-03-24
   language      itd               itd.txt                 2016-06-10
   language      izi               izi.txt                 2013-09-23
   language      izz               izz.txt                 2013-09-23
   language      jan               jan.txt                 2012-08-27
   language      jar               jar.txt                 2012-08-27
   language      jbi               jbi.txt                 2013-09-23
   language      jbk               jbk.txt                 2012-08-27
   language      jbw               jbw.txt                 2012-08-27
   language      jeg               jeg.txt                 2017-03-03
   language      jgk               jgk.txt                 2012-08-27
   language      jih               jih.txt                 2012-08-27
   language      jiq               jiq.txt                 2012-08-27
   language      jje               jje.txt                 2015-02-18
   language      jjr               jjr.txt                 2012-08-27
   language      jka               jka.txt                 2016-06-10
   language      jkm               jkm.txt                 2012-08-27
   language      jmw               jmw.txt                 2012-08-27
   language      jls               jls.txt                 2010-03-24
   language      jog               jog.txt                 2015-06-01
   language      jui               jui.txt                 2012-08-27
   language      kad               kad.txt                 2012-08-27
   language      kak               kak.txt                 2016-06-10
   language      kbf               kbf.txt                 2015-02-18
   language      kbp               kbp.txt                 2010-03-24
   language      kcl               kcl.txt                 2012-08-27
   language      kdk               kdk.txt                 2013-09-23
   language      kdv               kdv.txt                 2012-08-27
   language      kfr               kfr.txt                 2016-06-10
   language      kgc               kgc.txt                 2016-06-10
   language      kgd               kgd.txt                 2017-03-03
   language      kgh               kgh.txt                 2012-08-27
   language      khi               khi.txt                 2009-04-07
   language      kjv               kjv.txt                 2015-02-18
   language      klg               klg.txt                 2010-03-24
   language      klm               klm.txt                 2010-03-24
   language      klw               klw.txt                 2017-03-03
   language      km                km.txt                  2018-03-20
   language      kmd               kmd.txt                 2010-03-24
   language      kml               kml.txt                 2012-08-27
   language      ko                ko.txt                  2007-08-14
   language      koj               koj.txt                 2015-02-18
   language      kop               kop.txt                 2011-08-24
   language      kox               kox.txt                 2016-06-10
   language      kpp               kpp.txt                 2012-08-27
   language      krm               krm.txt                 2017-03-03
   language      krr               krr.txt                 2017-03-03
   language      ktr               ktr.txt                 2016-06-10
   language      ktz               ktz.txt                 2015-03-06
   language      ktz               ktz-2017-02-23.txt      2017-03-03
   language      ktz               ktz-2018-10-28.txt      2018-10-31
   language      kue               kue.txt                 2015-02-18
   language      kvl               kvl.txt                 2012-08-27
   language      kvs               kvs.txt                 2016-06-10
   language      kvt               kvt.txt                 2012-08-27
   language      kvy               kvy.txt                 2012-08-27
   language      kwq               kwq.txt                 2015-02-18
   language      kxe               kxe.txt                 2015-02-18
   language      kxf               kxf.txt                 2012-08-27
   language      kyn               kyn.txt                 2010-03-24
   language      kzh               kzh.txt                 2012-08-27
   language      kzj               kzj.txt                 2016-06-10
   language      kzt               kzt.txt                 2016-06-10
   language      laa               laa.txt                 2010-03-24
   language      lay               lay.txt                 2014-03-13
   language      lbk               lbk.txt                 2010-03-24
   language      lbl               lbl.txt                 2010-03-24
   language      lbr               lbr.txt                 2012-08-27
   language      lce               lce.txt                 2016-06-10
   language      lcq               lcq.txt                 2012-08-27
   language      lcq               lcq-20130923.txt        2013-09-23
   language      lda               lda.txt                 2013-09-23
   language      ldb               ldb.txt                 2012-08-27
   language      leg               leg.txt                 2014-03-13
   language      let               let.txt                 2012-08-27
   language      lg                lg.txt                  2018-11-30
   language      lgn               lgn.txt                 2017-03-03
   language      lii               lii.txt                 2015-02-18
   language      lja               lja.txt                 2013-09-23
   language      ljw               ljw.txt                 2013-09-23
   language      ljx               ljx.txt                 2013-09-23
   language      llj               llj.txt                 2012-08-27
   language      lkm               lkm.txt                 2013-09-23
   language      lku               lku.txt                 2013-09-23
   language      lmm               lmm.txt                 2014-03-13
   language      lno               lno.txt                 2018-03-20
   language      lnw               lnw.txt                 2013-09-23
   language      lou               lou.txt                 2016-06-10
   language      loy               loy.txt                 2012-08-27
   language      lrr               lrr.txt                 2012-08-27
   language      lsg               lsg.txt                 2018-03-20
   language      lsy               lsy.txt                 2010-03-24
   language      ltg               ltg.txt                 2010-03-24
   language      lth               lth.txt                 2017-03-03
   language      lv                lv.txt                  2010-03-24
   language      lvs               lvs.txt                 2010-03-24
   language      lws               lws.txt                 2018-03-20
   language      lwu               lwu.txt                 2013-09-23
   language      maa               maa.txt                 2018-03-20
   language      man               man.txt                 2013-09-23
   language      map               map.txt                 2009-04-07
   language      mdh               mdh.txt                 2010-03-24
   language      meb               meb.txt                 2012-08-27
   language      meg               meg.txt                 2013-09-23
   language      mev               mev.txt                 2013-09-23
   language      mfg               mfg.txt                 2013-09-23
   language      mgg               mgg.txt                 2012-08-27
   language      mgx               mgx.txt                 2012-08-27
   language      mhh               mhh.txt                 2014-03-13
   language      mij               mij.txt                 2013-09-23
   language      mja               mja.txt                 2011-08-24
   language      mjb               mjb.txt                 2016-06-10
   language      mkh               mkh.txt                 2009-04-07
   language      mkx               mkx.txt                 2010-03-24
   language      mld               mld.txt                 2013-09-23
   language      mnt               mnt.txt                 2013-09-23
   language      mo                mo.txt                  2008-07-23
   language      mo                mo-20081125.txt         2008-11-25
   language      mof               mof.txt                 2010-03-24
   language      mom               mom.txt                 2010-03-24
